iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
124 2022-01-03 03:09:47 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 20.74%
125 2022-01-03 03:09:49 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 23.76%
126 2022-01-03 03:09:51 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 19.07%
127 2022-01-03 03:09:53 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.53%
128 2022-01-03 03:09:55 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 20.23%
129 2022-01-03 03:09:57 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 18.65%
130 2022-01-03 03:09:59 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 18.30%
131 2022-01-03 03:10:01 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 20.11%
132 2022-01-03 03:10:03 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 18.96%
133 2022-01-03 03:10:05 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 22.03%
134 2022-01-03 03:10:07 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 22.12%
135 2022-01-03 03:10:09 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 22.08%
136 2022-01-03 03:10:11 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 21.92%
137 2022-01-03 03:10:13 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 20.21%
138 2022-01-03 03:10:15 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 17.17%
139 2022-01-03 03:10:17 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.76% 19.19%
140 2022-01-03 03:10:19 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 18.97%
141 2022-01-03 03:10:21 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.76% 20.43%
142 2022-01-03 03:10:23 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.77% 21.90%
143 2022-01-03 03:10:25 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 22.14%
144 2022-01-03 03:10:27 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 22.02%
145 2022-01-03 03:10:29 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 21.17%
146 2022-01-03 03:10:31 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 21.06%
147 2022-01-03 03:10:34 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.76% 19.11%
148 2022-01-03 03:10:36 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 22.86%
149 2022-01-03 03:10:38 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 20.28%
150 2022-01-03 03:10:40 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 19.09%
151 2022-01-03 03:10:42 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 18.09%
152 2022-01-03 03:10:44 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 19.25%
153 2022-01-03 03:10:46 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.7MiB / 3.844GiB 8.76% 19.74%
154 2022-01-03 03:10:48 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 18.30%
155 2022-01-03 03:10:50 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 18.67%
156 2022-01-03 03:10:52 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 19.66%
157 2022-01-03 03:10:54 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 22.41%
158 2022-01-03 03:10:56 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.76% 20.35%
159 2022-01-03 03:10:58 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.76% 23.28%
160 2022-01-03 03:11:00 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.77% 23.39%
161 2022-01-03 03:11:02 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.77% 16.08%
162 2022-01-03 03:11:04 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 19.95%
163 2022-01-03 03:11:06 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 20.20%
164 2022-01-03 03:11:08 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 22.15%
165 2022-01-03 03:11:10 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 18.56%
166 2022-01-03 03:11:12 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.76% 20.18%
167 2022-01-03 03:11:14 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 20.04%
168 2022-01-03 03:11:16 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.76% 18.98%
169 2022-01-03 03:11:18 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 18.00%
170 2022-01-03 03:11:20 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 19.70%
171 2022-01-03 03:11:22 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.9MiB / 3.844GiB 8.76% 20.23%
172 2022-01-03 03:11:24 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345MiB / 3.844GiB 8.77% 20.06%
173 2022-01-03 03:11:26 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 345.1MiB / 3.844GiB 8.77% 22.93%
174 2022-01-03 03:11:28 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.8MiB / 3.844GiB 8.76% 20.71%
