timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640078405721115136,"2021-12-21,09:20:05",10.1.1.3,0.3888280391693115,-0.440,-0.440,-0.440,0.000,0.000,0.000
1640078406076184064,"2021-12-21,09:20:06",10.1.1.3,353,-0.430,-0.430,-0.430,0.000,0.000,0.000
1640078406129910016,"2021-12-21,09:20:06",10.1.1.3,0.40695810317993164,-0.430,-0.430,-0.430,0.000,0.000,0.000
1640078406506861056,"2021-12-21,09:20:06",10.1.1.3,367,-0.420,-0.420,-0.420,0.000,0.000,0.000
1640078406542375168,"2021-12-21,09:20:06",10.1.1.3,0.40311694145202637,-0.420,-0.420,-0.420,0.000,0.000,0.000
1640078406939654144,"2021-12-21,09:20:06",10.1.1.3,395,-0.410,-0.410,-0.410,0.000,0.000,0.000
1640078406960966144,"2021-12-21,09:20:06",10.1.1.3,0.4101831912994385,-0.410,-0.410,-0.410,0.000,0.000,0.000
1640078407360943104,"2021-12-21,09:20:07",10.1.1.3,392,-0.400,-0.400,-0.400,0.000,0.000,0.000
1640078407388273920,"2021-12-21,09:20:07",10.1.1.3,0.41954708099365234,-0.400,-0.400,-0.400,0.000,0.000,0.000
1640078407818580992,"2021-12-21,09:20:07",10.1.1.3,426,-0.390,-0.390,-0.390,0.000,0.000,0.000
1640078407851695104,"2021-12-21,09:20:07",10.1.1.3,0.460068941116333,-0.390,-0.390,-0.390,0.000,0.000,0.000
1640078408212333056,"2021-12-21,09:20:08",10.1.1.3,358,-0.380,-0.380,-0.380,0.000,0.000,0.000
1640078408223081216,"2021-12-21,09:20:08",10.1.1.3,0.3697018623352051,-0.380,-0.380,-0.380,0.000,0.000,0.000
1640078408566893056,"2021-12-21,09:20:08",10.1.1.3,340,-0.370,-0.370,-0.370,0.000,0.000,0.000
1640078408589468928,"2021-12-21,09:20:08",10.1.1.3,0.36305999755859375,-0.370,-0.370,-0.370,0.000,0.000,0.000
1640078408979958016,"2021-12-21,09:20:08",10.1.1.3,369,-0.360,-0.360,-0.360,0.000,0.000,0.000
1640078409002664192,"2021-12-21,09:20:09",10.1.1.3,0.3911778926849365,-0.360,-0.360,-0.360,0.000,0.000,0.000
1640078409408220928,"2021-12-21,09:20:09",10.1.1.3,401,-0.350,-0.350,-0.350,0.000,0.000,0.000
1640078409457015040,"2021-12-21,09:20:09",10.1.1.3,0.45053911209106445,-0.350,-0.350,-0.350,0.000,0.000,0.000
1640078409848912128,"2021-12-21,09:20:09",10.1.1.3,389,-0.340,-0.340,-0.340,0.000,0.000,0.000
1640078409904508160,"2021-12-21,09:20:09",10.1.1.3,0.4452359676361084,-0.340,-0.340,-0.340,0.000,0.000,0.000
1640078410417714176,"2021-12-21,09:20:10",10.1.1.3,495,-0.330,-0.330,-0.330,0.000,0.000,0.000
1640078410439269120,"2021-12-21,09:20:10",10.1.1.3,0.5168099403381348,-0.330,-0.330,-0.330,0.000,0.000,0.000
1640078410846635008,"2021-12-21,09:20:10",10.1.1.3,405,-0.320,-0.320,-0.320,0.000,0.000,0.000
1640078410900621056,"2021-12-21,09:20:10",10.1.1.3,0.4593541622161865,-0.320,-0.320,-0.320,0.000,0.000,0.000
1640078411354000128,"2021-12-21,09:20:11",10.1.1.3,449,-0.310,-0.310,-0.310,0.000,0.000,0.000
1640078411373724928,"2021-12-21,09:20:11",10.1.1.3,0.4690580368041992,-0.310,-0.310,-0.310,0.000,0.000,0.000
1640078411779632128,"2021-12-21,09:20:11",10.1.1.3,403,-0.300,-0.300,-0.300,0.000,0.000,0.000
1640078411837946880,"2021-12-21,09:20:11",10.1.1.3,0.46206116676330566,-0.300,-0.300,-0.300,0.000,0.000,0.000
1640078412545136896,"2021-12-21,09:20:12",10.1.1.3,462,-0.290,-0.290,-0.290,0.000,0.000,0.000
1640078412570092800,"2021-12-21,09:20:12",10.1.1.3,0.5463740825653076,-0.290,-0.290,-0.290,0.000,0.000,0.000
1640078412956217088,"2021-12-21,09:20:12",10.1.1.3,384,-0.280,-0.280,-0.280,0.000,0.000,0.000
1640078413027976960,"2021-12-21,09:20:13",10.1.1.3,0.4560511112213135,-0.280,-0.280,-0.280,0.000,0.000,0.000
1640078413357865984,"2021-12-21,09:20:13",10.1.1.3,328,-0.270,-0.270,-0.270,0.000,0.000,0.000
1640078413387480064,"2021-12-21,09:20:13",10.1.1.3,0.3581380844116211,-0.270,-0.270,-0.270,0.000,0.000,0.000
1640078413766465024,"2021-12-21,09:20:13",10.1.1.3,374,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640078413849710080,"2021-12-21,09:20:13",10.1.1.3,0.4578111171722412,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640078414187820032,"2021-12-21,09:20:14",10.1.1.3,336,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640078414241125120,"2021-12-21,09:20:14",10.1.1.3,0.38983798027038574,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640078414577086976,"2021-12-21,09:20:14",10.1.1.3,334,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640078414617186048,"2021-12-21,09:20:14",10.1.1.3,0.3746981620788574,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640078415046749184,"2021-12-21,09:20:15",10.1.1.3,427,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640078415089282048,"2021-12-21,09:20:15",10.1.1.3,0.47074317932128906,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640078415505573888,"2021-12-21,09:20:15",10.1.1.3,412,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640078415532273920,"2021-12-21,09:20:15",10.1.1.3,0.4390261173248291,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640078415960499968,"2021-12-21,09:20:15",10.1.1.3,426,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640078416090456064,"2021-12-21,09:20:16",10.1.1.3,0.5411150455474854,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640078416625419008,"2021-12-21,09:20:16",10.1.1.3,0.49785709381103516,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640078417093719040,"2021-12-21,09:20:17",10.1.1.3,451,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640078417138426112,"2021-12-21,09:20:17",10.1.1.3,0.49661684036254883,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640078417518019072,"2021-12-21,09:20:17",10.1.1.3,376,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640078417534240000,"2021-12-21,09:20:17",10.1.1.3,0.39286112785339355,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640078417894092032,"2021-12-21,09:20:17",10.1.1.3,353,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640078417971483904,"2021-12-21,09:20:17",10.1.1.3,0.4313700199127197,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640078418375289088,"2021-12-21,09:20:18",10.1.1.3,401,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640078418436016128,"2021-12-21,09:20:18",10.1.1.3,0.4625680446624756,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640078419045382144,"2021-12-21,09:20:19",10.1.1.3,597,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640078419074484224,"2021-12-21,09:20:19",10.1.1.3,0.6290500164031982,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640078419439752192,"2021-12-21,09:20:19",10.1.1.3,361,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640078419469326080,"2021-12-21,09:20:19",10.1.1.3,0.38602399826049805,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640078419971426048,"2021-12-21,09:20:19",10.1.1.3,499,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640078420024514816,"2021-12-21,09:20:20",10.1.1.3,0.5504519939422607,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640078420504650240,"2021-12-21,09:20:20",10.1.1.3,478,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640078420525208832,"2021-12-21,09:20:20",10.1.1.3,0.4992098808288574,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640078421087259136,"2021-12-21,09:20:21",10.1.1.3,557,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640078421130361088,"2021-12-21,09:20:21",10.1.1.3,0.6032190322875977,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640078426647604992,"2021-12-21,09:20:21",10.1.1.3,566,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640078433000905984,"2021-12-21,09:20:26",10.1.1.3,5.776443958282471,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640078433978324992,"2021-12-21,09:20:33",10.1.1.3,854,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640078433983196928,"2021-12-21,09:20:33",10.1.1.3,0.8601300716400146,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640078434274929920,"2021-12-21,09:20:34",10.1.1.3,289,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640078434317061888,"2021-12-21,09:20:34",10.1.1.3,0.33196115493774414,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640078434628602112,"2021-12-21,09:20:34",10.1.1.3,307,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640078434678107136,"2021-12-21,09:20:34",10.1.1.3,0.35829615592956543,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640078434993632000,"2021-12-21,09:20:34",10.1.1.3,313,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078435025158912,"2021-12-21,09:20:35",10.1.1.3,0.3451530933380127,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078435392846080,"2021-12-21,09:20:35",10.1.1.3,365,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640078435407496960,"2021-12-21,09:20:35",10.1.1.3,0.3804759979248047,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640078435762195968,"2021-12-21,09:20:35",10.1.1.3,353,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640078435785414912,"2021-12-21,09:20:35",10.1.1.3,0.37631797790527344,-0.040,-0.040,-0.040,0.000,0.000,0.000
