%Cpu(s):  4,9 us, 36,9 sy,  0,0 ni, 58,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  4,5 us, 42,3 sy,  0,0 ni, 53,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  4,5 us, 39,6 sy,  0,0 ni, 54,1 id,  0,0 wa,  0,0 hi,  1,8 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  5,7 us, 36,8 sy,  0,0 ni, 57,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  5,5 us, 42,7 sy,  0,0 ni, 51,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  4,8 us, 40,4 sy,  0,0 ni, 54,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  2,0 us, 39,2 sy,  0,0 ni, 56,9 id,  0,0 wa,  0,0 hi,  2,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  5,9 us, 40,6 sy,  0,0 ni, 53,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  7,6 us, 38,0 sy,  0,0 ni, 54,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  3,2 us, 23,7 sy,  0,0 ni, 73,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  3,2 us, 22,1 sy,  0,0 ni, 71,6 id,  0,0 wa,  0,0 hi,  3,2 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  3,2 us, 24,7 sy,  0,0 ni, 72,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  3,2 us, 24,7 sy,  0,0 ni, 71,0 id,  0,0 wa,  0,0 hi,  1,1 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  3,1 us, 26,5 sy,  0,0 ni, 68,4 id,  2,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  4,1 us, 19,4 sy,  0,0 ni, 66,3 id,  8,2 wa,  0,0 hi,  2,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  2,1 us, 19,1 sy,  0,0 ni, 75,5 id,  0,0 wa,  0,0 hi,  3,2 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  4,4 us, 26,7 sy,  0,0 ni, 63,3 id,  5,6 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  7,3 us, 41,8 sy,  0,0 ni, 42,7 id,  8,2 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  1,9 us, 32,7 sy,  0,0 ni, 55,8 id,  8,7 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  7,4 us, 30,9 sy,  0,0 ni, 53,2 id,  8,5 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  4,6 us, 26,9 sy,  0,0 ni, 60,2 id,  7,4 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  7,5 us, 39,6 sy,  0,0 ni, 52,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168752 free,  7586444 used,  8532972 buff/cache
%Cpu(s):  7,3 us, 38,5 sy,  0,0 ni, 53,2 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,9 us, 38,2 sy,  0,0 ni, 57,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  8,2 us, 27,8 sy,  0,0 ni, 62,9 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  4,1 us, 22,4 sy,  0,0 ni, 72,4 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,2 us, 23,2 sy,  0,0 ni, 73,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,2 us, 23,4 sy,  0,0 ni, 71,3 id,  0,0 wa,  0,0 hi,  2,1 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,2 us, 23,7 sy,  0,0 ni, 73,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,2 us, 21,5 sy,  0,0 ni, 75,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  4,0 us, 26,3 sy,  0,0 ni, 68,7 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,1 us, 25,0 sy,  0,0 ni, 70,8 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,1 us, 24,7 sy,  0,0 ni, 70,1 id,  0,0 wa,  0,0 hi,  2,1 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,3 us, 18,9 sy,  0,0 ni, 77,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,2 us, 20,0 sy,  0,0 ni, 74,7 id,  0,0 wa,  0,0 hi,  2,1 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  2,2 us, 19,6 sy,  0,0 ni, 76,1 id,  0,0 wa,  0,0 hi,  2,2 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  4,5 us, 18,2 sy,  0,0 ni, 77,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,2 us, 23,2 sy,  0,0 ni, 71,6 id,  0,0 wa,  0,0 hi,  2,1 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  6,1 us, 26,5 sy,  0,0 ni, 66,3 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  2,2 us, 29,3 sy,  0,0 ni, 67,4 id,  0,0 wa,  0,0 hi,  1,1 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  1,0 us, 27,1 sy,  0,0 ni, 70,8 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  5,9 us, 31,4 sy,  0,0 ni, 61,8 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  3,8 us, 32,4 sy,  0,0 ni, 63,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  4,7 us, 29,2 sy,  0,0 ni, 65,1 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  9,4 us, 26,0 sy,  0,0 ni, 63,5 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  5,8 us, 31,1 sy,  0,0 ni, 63,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168748 free,  7586400 used,  8533020 buff/cache
%Cpu(s):  4,0 us, 27,3 sy,  0,0 ni, 66,7 id,  0,0 wa,  0,0 hi,  2,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  5,1 us, 26,5 sy,  0,0 ni, 67,3 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  6,2 us, 25,0 sy,  0,0 ni, 67,7 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  4,8 us, 30,8 sy,  0,0 ni, 64,4 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  5,2 us, 29,2 sy,  0,0 ni, 65,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  5,0 us, 27,7 sy,  0,0 ni, 65,3 id,  0,0 wa,  0,0 hi,  2,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  4,9 us, 29,1 sy,  0,0 ni, 66,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  4,0 us, 29,7 sy,  0,0 ni, 66,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  7,1 us, 38,9 sy,  0,0 ni, 50,4 id,  3,5 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  9,1 us, 44,6 sy,  0,0 ni, 42,1 id,  4,1 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  8,4 us, 42,1 sy,  0,0 ni, 48,6 id,  0,0 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  6,2 us, 43,8 sy,  0,0 ni, 40,2 id,  8,0 wa,  0,0 hi,  1,8 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  8,7 us, 43,5 sy,  0,0 ni, 40,9 id,  6,1 wa,  0,0 hi,  0,9 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  7,8 us, 33,3 sy,  0,0 ni, 58,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  3,6 us, 39,6 sy,  0,0 ni, 56,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  3,8 us, 40,0 sy,  0,0 ni, 55,2 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
%Cpu(s):  7,1 us, 39,3 sy,  0,0 ni, 53,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   168936 free,  7586208 used,  8533024 buff/cache
