--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
280,2022-01-02-11:02:21,4,6,3.434031
281,2022-01-02-11:02:25,6,0,3.436828
282,2022-01-02-11:02:27,0,5,1.842874
283,2022-01-02-11:02:28,5,4,1.758850
284,2022-01-02-11:02:30,4,5,1.758645
285,2022-01-02-11:02:32,5,1,1.899936
286,2022-01-02-11:02:36,1,6,3.542550
287,2022-01-02-11:02:39,6,2,3.051930
288,2022-01-02-11:02:41,2,7,2.625486
289,2022-01-02-11:02:43,7,0,1.883260
290,2022-01-02-11:02:45,0,4,1.528873
291,2022-01-02-11:02:46,4,0,1.523932
292,2022-01-02-11:02:47,0,1,1.027710
293,2022-01-02-11:02:49,1,5,1.884571
294,2022-01-02-11:02:51,5,3,2.144839
295,2022-01-02-11:02:53,3,1,2.199340
296,2022-01-02-11:02:55,1,4,1.288562
297,2022-01-02-11:02:57,4,3,2.123274
298,2022-01-02-11:02:59,3,2,2.556293
299,2022-01-02-11:03:01,2,0,1.693742
300,2022-01-02-11:03:03,0,3,2.361186
301,2022-01-02-11:03:06,3,2,2.549008
302,2022-01-02-11:03:09,2,6,3.080597
303,2022-01-02-11:03:13,6,7,3.962930
304,2022-01-02-11:03:16,7,5,2.539208
305,2022-01-02-11:03:17,5,2,1.487511
306,2022-01-02-11:03:20,2,3,2.549382
307,2022-01-02-11:03:22,3,5,2.154326
308,2022-01-02-11:03:24,5,1,1.914752
309,2022-01-02-11:03:27,1,6,3.546917
310,2022-01-02-11:03:31,6,0,3.431276
311,2022-01-02-11:03:33,0,7,1.889666
312,2022-01-02-11:03:34,7,4,1.850467
313,2022-01-02-11:03:38,4,6,3.445084
314,2022-01-02-11:03:41,6,4,3.433213
315,2022-01-02-11:03:45,4,6,3.450647
316,2022-01-02-11:03:48,6,3,3.654814
317,2022-01-02-11:03:51,3,0,2.347502
318,2022-01-02-11:03:52,0,1,1.037826
319,2022-01-02-11:03:54,1,5,1.888131
320,2022-01-02-11:03:56,5,7,2.561675
321,2022-01-02-11:03:58,7,1,1.633286
322,2022-01-02-11:04:00,1,3,2.194258
323,2022-01-02-11:04:04,3,6,3.641786
324,2022-01-02-11:04:07,6,2,3.094543
325,2022-01-02-11:04:09,2,1,1.956513
326,2022-01-02-11:04:12,1,6,3.548195
327,2022-01-02-11:04:16,6,0,3.425911
328,2022-01-02-11:04:17,0,2,1.725022
329,2022-01-02-11:04:19,2,4,1.747415
330,2022-01-02-11:04:21,4,3,2.066885
331,2022-01-02-11:04:23,3,7,2.113950
332,2022-01-02-11:04:26,7,3,2.131098
333,2022-01-02-11:04:28,3,1,2.228311
334,2022-01-02-11:04:31,1,6,3.542695
335,2022-01-02-11:04:35,6,0,3.439485
336,2022-01-02-11:04:36,0,2,1.699961
