"iteration,date,executiontime"
228,2022-02-08-13:05:30,0.77444
229,2022-02-08-13:05:31,0.74617
230,2022-02-08-13:05:31,0.62032
231,2022-02-08-13:05:32,0.61176
232,2022-02-08-13:05:32,0.47757
233,2022-02-08-13:05:33,0.78044
234,2022-02-08-13:05:34,0.84731
235,2022-02-08-13:05:35,0.68023
236,2022-02-08-13:05:35,0.80270
237,2022-02-08-13:05:36,0.92226
238,2022-02-08-13:05:37,0.72132
239,2022-02-08-13:05:37,0.38576
240,2022-02-08-13:05:38,0.51653
241,2022-02-08-13:05:38,0.42612
242,2022-02-08-13:05:39,0.52416
243,2022-02-08-13:05:40,0.84649
244,2022-02-08-13:05:40,0.79103
245,2022-02-08-13:05:41,0.62740
246,2022-02-08-13:05:42,0.61869
247,2022-02-08-13:05:42,0.44799
248,2022-02-08-13:05:43,0.43287
249,2022-02-08-13:05:43,0.81564
250,2022-02-08-13:05:44,0.72999
251,2022-02-08-13:05:45,0.74430
252,2022-02-08-13:05:46,0.83612
253,2022-02-08-13:05:46,0.73640
254,2022-02-08-13:05:47,0.54567
255,2022-02-08-13:05:48,0.88046
256,2022-02-08-13:05:49,0.64756
257,2022-02-08-13:05:49,0.52164
258,2022-02-08-13:05:50,0.51491
259,2022-02-08-13:05:50,0.37259
260,2022-02-08-13:05:51,0.80350
261,2022-02-08-13:05:52,0.84044
262,2022-02-08-13:05:52,0.48230
263,2022-02-08-13:05:53,0.57804
264,2022-02-08-13:05:53,0.37741
265,2022-02-08-13:05:54,0.81400
266,2022-02-08-13:05:55,1.13828
267,2022-02-08-13:05:56,0.81335
268,2022-02-08-13:05:56,0.33776
269,2022-02-08-13:05:57,0.61493
270,2022-02-08-13:05:57,0.71572
271,2022-02-08-13:05:58,0.74780
272,2022-02-08-13:05:59,0.90453
273,2022-02-08-13:06:00,0.62939
274,2022-02-08-13:06:00,0.73241
275,2022-02-08-13:06:01,0.62210
276,2022-02-08-13:06:02,0.67934
277,2022-02-08-13:06:03,0.91339
278,2022-02-08-13:06:03,0.47624
279,2022-02-08-13:06:04,0.68001
280,2022-02-08-13:06:04,0.51396
281,2022-02-08-13:06:05,0.42745
282,2022-02-08-13:06:05,0.46292
283,2022-02-08-13:06:06,0.83023
284,2022-02-08-13:06:07,0.88670
285,2022-02-08-13:06:08,0.74404
286,2022-02-08-13:06:08,0.51139
287,2022-02-08-13:06:09,0.65873
288,2022-02-08-13:06:09,0.52634
289,2022-02-08-13:06:10,0.90401
290,2022-02-08-13:06:11,0.85088
291,2022-02-08-13:06:12,0.74900
292,2022-02-08-13:06:13,1.01789
293,2022-02-08-13:06:14,0.74173
294,2022-02-08-13:06:14,0.58312
295,2022-02-08-13:06:15,0.92768
296,2022-02-08-13:06:16,0.51350
297,2022-02-08-13:06:16,0.51057
298,2022-02-08-13:06:17,0.62948
299,2022-02-08-13:06:17,0.37951
300,2022-02-08-13:06:18,0.99330
301,2022-02-08-13:06:19,0.84358
302,2022-02-08-13:06:20,0.55621
303,2022-02-08-13:06:20,0.62815
304,2022-02-08-13:06:21,0.60988
305,2022-02-08-13:06:21,0.32999
306,2022-02-08-13:06:22,0.91764
307,2022-02-08-13:06:23,0.73016
308,2022-02-08-13:06:23,0.57985
309,2022-02-08-13:06:24,0.81567
310,2022-02-08-13:06:25,0.47988
311,2022-02-08-13:06:25,0.71199
312,2022-02-08-13:06:26,0.41004
313,2022-02-08-13:06:27,0.94885
314,2022-02-08-13:06:28,1.03651
315,2022-02-08-13:06:29,0.71482
316,2022-02-08-13:06:29,0.92276
317,2022-02-08-13:06:30,0.94026
318,2022-02-08-13:06:31,0.75443
319,2022-02-08-13:06:32,0.55184
320,2022-02-08-13:06:32,0.63125
321,2022-02-08-13:06:33,0.58460
322,2022-02-08-13:06:34,0.73238
323,2022-02-08-13:06:34,0.49292
324,2022-02-08-13:06:35,0.71068
325,2022-02-08-13:06:35,0.63579
326,2022-02-08-13:06:36,0.37791
327,2022-02-08-13:06:37,0.85899
328,2022-02-08-13:06:38,0.95704
329,2022-02-08-13:06:38,0.48398
330,2022-02-08-13:06:39,0.67940
331,2022-02-08-13:06:39,0.58299
332,2022-02-08-13:06:40,0.83148
333,2022-02-08-13:06:41,0.68293
334,2022-02-08-13:06:42,0.72530
335,2022-02-08-13:06:42,0.81702
336,2022-02-08-13:06:43,0.41801
337,2022-02-08-13:06:43,0.57583
338,2022-02-08-13:06:44,0.58036
339,2022-02-08-13:06:45,0.74090
340,2022-02-08-13:06:46,0.97561
341,2022-02-08-13:06:47,1.04379
342,2022-02-08-13:06:47,0.47739
343,2022-02-08-13:06:48,0.47612
344,2022-02-08-13:06:48,0.43995
345,2022-02-08-13:06:49,0.66094
346,2022-02-08-13:06:50,1.02735
347,2022-02-08-13:06:51,0.68250
348,2022-02-08-13:06:51,0.51036
349,2022-02-08-13:06:52,0.75137
350,2022-02-08-13:06:53,0.83775
351,2022-02-08-13:06:53,0.77939
352,2022-02-08-13:06:54,0.71416
353,2022-02-08-13:06:55,0.68407
354,2022-02-08-13:06:56,0.81346
355,2022-02-08-13:06:57,0.87219
356,2022-02-08-13:06:57,0.71323
357,2022-02-08-13:06:58,0.98797
358,2022-02-08-13:06:59,0.56513
359,2022-02-08-13:06:59,0.58371
360,2022-02-08-13:07:00,0.72337
361,2022-02-08-13:07:01,0.81846
362,2022-02-08-13:07:01,0.53657
363,2022-02-08-13:07:02,0.52375
364,2022-02-08-13:07:03,0.75057
365,2022-02-08-13:07:04,0.81118
366,2022-02-08-13:07:04,0.41192
367,2022-02-08-13:07:05,0.87724
368,2022-02-08-13:07:06,0.84687
369,2022-02-08-13:07:07,0.82451
370,2022-02-08-13:07:07,0.88245
371,2022-02-08-13:07:08,0.41318
372,2022-02-08-13:07:09,0.89793
373,2022-02-08-13:07:09,0.59987
374,2022-02-08-13:07:10,0.84764
375,2022-02-08-13:07:11,1.01202
376,2022-02-08-13:07:12,0.74975
377,2022-02-08-13:07:12,0.43351
378,2022-02-08-13:07:13,0.61437
379,2022-02-08-13:07:13,0.47544
380,2022-02-08-13:07:14,0.64576
381,2022-02-08-13:07:15,0.86034
382,2022-02-08-13:07:16,0.71003
