"iteration,date,init_position,final_position,time"
204,2022-01-27-13:19:58,1,5,1.92141
205,2022-01-27-13:20:00,5,4,1.74250
206,2022-01-27-13:20:02,4,5,1.75152
207,2022-01-27-13:20:04,5,0,1.86520
208,2022-01-27-13:20:05,0,1,1.02059
209,2022-01-27-13:20:06,1,4,1.32022
210,2022-01-27-13:20:08,4,7,1.85150
211,2022-01-27-13:20:10,7,3,2.12728
212,2022-01-27-13:20:14,3,6,3.63366
213,2022-01-27-13:20:17,6,0,3.45610
214,2022-01-27-13:20:19,0,2,1.72529
215,2022-01-27-13:20:20,2,5,1.52155
216,2022-01-27-13:20:22,5,1,1.92098
217,2022-01-27-13:20:24,1,5,1.91949
218,2022-01-27-13:20:27,5,7,2.56656
219,2022-01-27-13:20:29,7,5,2.55655
220,2022-01-27-13:20:32,5,6,3.06625
221,2022-01-27-13:20:36,6,3,3.64490
222,2022-01-27-13:20:38,3,7,2.13216
223,2022-01-27-13:20:40,7,3,2.12349
224,2022-01-27-13:20:42,3,4,2.14251
225,2022-01-27-13:20:44,4,3,2.12906
226,2022-01-27-13:20:47,3,1,2.23878
227,2022-01-27-13:20:48,1,7,1.73322
228,2022-01-27-13:20:51,7,3,2.13114
229,2022-01-27-13:20:53,3,1,2.22728
230,2022-01-27-13:20:54,1,0,1.02964
231,2022-01-27-13:20:57,0,6,3.43959
232,2022-01-27-13:21:01,6,3,3.63833
233,2022-01-27-13:21:03,3,0,2.39141
234,2022-01-27-13:21:05,0,4,1.53871
235,2022-01-27-13:21:07,4,3,2.13609
236,2022-01-27-13:21:10,3,2,2.57216
237,2022-01-27-13:21:12,2,3,2.60075
238,2022-01-27-13:21:14,3,1,2.22284
239,2022-01-27-13:21:15,1,0,1.08857
240,2022-01-27-13:21:17,0,4,1.51338
241,2022-01-27-13:21:19,4,3,2.14988
242,2022-01-27-13:21:22,3,0,2.38841
243,2022-01-27-13:21:23,0,2,1.72402
244,2022-01-27-13:21:25,2,1,1.99022
245,2022-01-27-13:21:27,1,3,2.24681
246,2022-01-27-13:21:30,3,5,2.14499
247,2022-01-27-13:21:32,5,0,1.88903
248,2022-01-27-13:21:33,0,5,1.88628
249,2022-01-27-13:21:35,5,2,1.53454
250,2022-01-27-13:21:38,2,3,2.58784
251,2022-01-27-13:21:40,3,7,2.12243
252,2022-01-27-13:21:42,7,5,2.60244
253,2022-01-27-13:21:44,5,3,2.22998
254,2022-01-27-13:21:47,3,5,2.15425
255,2022-01-27-13:21:49,5,7,2.57230
256,2022-01-27-13:21:51,7,3,2.11292
257,2022-01-27-13:21:53,3,5,2.15705
258,2022-01-27-13:21:55,5,2,1.51759
259,2022-01-27-13:21:57,2,0,1.72071
260,2022-01-27-13:21:58,0,1,1.01422
261,2022-01-27-13:22:00,1,5,1.93774
262,2022-01-27-13:22:02,5,1,1.92048
263,2022-01-27-13:22:04,1,2,1.94214
264,2022-01-27-13:22:07,2,6,3.10613
265,2022-01-27-13:22:11,6,7,4.00385
266,2022-01-27-13:22:13,7,4,1.89492
267,2022-01-27-13:22:14,4,7,1.88608
268,2022-01-27-13:22:17,7,2,2.59482
269,2022-01-27-13:22:20,2,7,2.61597
270,2022-01-27-13:22:22,7,5,2.63059
271,2022-01-27-13:22:25,5,7,2.59337
272,2022-01-27-13:22:29,7,6,4.00237
273,2022-01-27-13:22:32,6,0,3.42804
274,2022-01-27-13:22:35,0,3,2.38946
275,2022-01-27-13:22:37,3,0,2.38900
276,2022-01-27-13:22:41,0,6,3.44429
277,2022-01-27-13:22:44,6,4,3.44290
278,2022-01-27-13:22:45,4,1,1.31405
279,2022-01-27-13:22:47,1,4,1.31772
280,2022-01-27-13:22:50,4,6,3.46867
281,2022-01-27-13:22:54,6,3,3.63126
282,2022-01-27-13:22:57,3,6,3.64784
283,2022-01-27-13:23:00,6,2,3.04274
284,2022-01-27-13:23:02,2,4,1.78207
285,2022-01-27-13:23:03,4,1,1.31994
286,2022-01-27-13:23:05,1,4,1.32387
287,2022-01-27-13:23:07,4,3,2.15853
288,2022-01-27-13:23:09,3,0,2.40999
289,2022-01-27-13:23:13,0,6,3.43954
290,2022-01-27-13:23:16,6,0,3.45850
291,2022-01-27-13:23:18,0,5,1.85313
292,2022-01-27-13:23:20,5,4,1.75594
293,2022-01-27-13:23:22,4,7,1.88452
294,2022-01-27-13:23:26,7,6,4.03083
295,2022-01-27-13:23:29,6,0,3.45072
296,2022-01-27-13:23:33,0,6,3.45544
297,2022-01-27-13:23:36,6,0,3.43278
298,2022-01-27-13:23:40,0,6,3.45950
299,2022-01-27-13:23:43,6,1,3.55123
300,2022-01-27-13:23:44,1,4,1.32454
301,2022-01-27-13:23:46,4,7,1.88278
302,2022-01-27-13:23:48,7,1,1.70936
303,2022-01-27-13:23:49,1,0,1.04644
304,2022-01-27-13:23:51,0,2,1.72135
305,2022-01-27-13:23:53,2,0,1.73113
306,2022-01-27-13:23:55,0,3,2.36143
307,2022-01-27-13:23:57,3,7,2.12577
308,2022-01-27-13:24:00,7,5,2.56191
309,2022-01-27-13:24:01,5,4,1.75899
310,2022-01-27-13:24:03,4,5,1.76531
311,2022-01-27-13:24:05,5,4,1.76642
312,2022-01-27-13:24:07,4,3,2.12110
313,2022-01-27-13:24:10,3,2,2.54683
314,2022-01-27-13:24:11,2,5,1.52479
315,2022-01-27-13:24:13,5,1,1.90847
316,2022-01-27-13:24:14,1,0,1.05556
317,2022-01-27-13:24:16,0,7,1.92255
318,2022-01-27-13:24:19,7,5,2.63119
319,2022-01-27-13:24:21,5,1,1.93085
320,2022-01-27-13:24:23,1,3,2.22003
321,2022-01-27-13:24:26,3,6,3.66153
322,2022-01-27-13:24:30,6,3,3.63807
323,2022-01-27-13:24:32,3,5,2.18836
324,2022-01-27-13:24:34,5,3,2.20154
325,2022-01-27-13:24:37,3,4,2.11952
326,2022-01-27-13:24:39,4,3,2.12031
327,2022-01-27-13:24:41,3,4,2.11917
328,2022-01-27-13:24:42,4,1,1.32752
329,2022-01-27-13:24:44,1,7,1.64433
330,2022-01-27-13:24:46,7,0,1.98787
331,2022-01-27-13:24:48,0,2,1.74661
332,2022-01-27-13:24:50,2,3,2.59165
333,2022-01-27-13:24:53,3,2,2.58833
334,2022-01-27-13:24:55,2,1,1.95531
335,2022-01-27-13:24:57,1,2,1.96622
336,2022-01-27-13:24:58,2,5,1.52173
337,2022-01-27-13:25:01,5,7,2.59046
338,2022-01-27-13:25:05,7,6,4.02871
339,2022-01-27-13:25:08,6,4,3.43036
340,2022-01-27-13:25:10,4,1,1.31828
341,2022-01-27-13:25:11,1,2,1.96693
342,2022-01-27-13:25:13,2,0,1.73799
343,2022-01-27-13:25:15,0,7,1.91892
344,2022-01-27-13:25:17,7,0,1.93621
345,2022-01-27-13:25:21,0,6,3.45107
346,2022-01-27-13:25:24,6,1,3.54466
347,2022-01-27-13:25:26,1,3,2.20715
348,2022-01-27-13:25:28,3,1,2.21274
349,2022-01-27-13:25:30,1,2,1.98062
350,2022-01-27-13:25:32,2,5,1.51786
351,2022-01-27-13:25:34,5,4,1.79745
352,2022-01-27-13:25:36,4,3,2.12449
353,2022-01-27-13:25:38,3,2,2.59137
354,2022-01-27-13:25:42,2,6,3.09603
355,2022-01-27-13:25:45,6,3,3.66515
356,2022-01-27-13:25:47,3,7,2.12796
357,2022-01-27-13:25:50,7,5,2.58159
358,2022-01-27-13:25:52,5,3,2.20209
359,2022-01-27-13:25:54,3,7,2.12167
360,2022-01-27-13:25:56,7,0,1.94304
361,2022-01-27-13:26:00,0,6,3.44129
362,2022-01-27-13:26:03,6,5,3.08031
363,2022-01-27-13:26:05,5,1,1.92359
364,2022-01-27-13:26:06,1,4,1.29911
365,2022-01-27-13:26:08,4,0,1.54296
366,2022-01-27-13:26:09,0,4,1.54443
367,2022-01-27-13:26:11,4,3,2.09104
368,2022-01-27-13:26:13,3,4,2.09752
369,2022-01-27-13:26:15,4,1,1.28946
370,2022-01-27-13:26:16,1,0,0.99120
371,2022-01-27-13:26:17,0,7,1.92082
372,2022-01-27-13:26:19,7,0,1.92178
373,2022-01-27-13:26:21,0,5,1.88048
374,2022-01-27-13:26:23,5,4,1.77953
375,2022-01-27-13:26:25,4,5,1.74437
376,2022-01-27-13:26:27,5,3,2.19513
377,2022-01-27-13:26:29,3,5,2.17834
378,2022-01-27-13:26:31,5,3,2.15497
379,2022-01-27-13:26:34,3,2,2.56774
380,2022-01-27-13:26:36,2,1,1.95977
381,2022-01-27-13:26:37,1,7,1.65597
382,2022-01-27-13:26:39,7,4,1.87566
383,2022-01-27-13:26:41,4,2,1.79347
384,2022-01-27-13:26:44,2,6,3.10153
385,2022-01-27-13:26:48,6,4,3.42796
386,2022-01-27-13:26:49,4,2,1.79207
387,2022-01-27-13:26:53,2,6,3.09124
388,2022-01-27-13:26:56,6,1,3.53362
389,2022-01-27-13:26:58,1,3,2.24867
390,2022-01-27-13:27:01,3,0,2.38341
391,2022-01-27-13:27:02,0,2,1.72220
392,2022-01-27-13:27:05,2,3,2.58420
393,2022-01-27-13:27:09,3,6,3.64538
394,2022-01-27-13:27:12,6,1,3.52831
395,2022-01-27-13:27:13,1,0,0.99945
396,2022-01-27-13:27:15,0,7,1.92713
397,2022-01-27-13:27:19,7,6,4.01756
398,2022-01-27-13:27:23,6,7,4.11824
399,2022-01-27-13:27:25,7,3,2.12932
400,2022-01-27-13:27:28,3,1,2.21197
401,2022-01-27-13:27:30,1,3,2.23561
402,2022-01-27-13:27:34,3,6,3.68578
403,2022-01-27-13:27:38,6,7,4.00137
404,2022-01-27-13:27:42,7,6,4.01366
405,2022-01-27-13:27:45,6,5,3.09645
406,2022-01-27-13:27:46,5,2,1.53497
407,2022-01-27-13:27:49,2,7,2.61572
408,2022-01-27-13:27:51,7,3,2.11015
409,2022-01-27-13:27:53,3,4,2.13112
410,2022-01-27-13:27:55,4,7,1.85384
411,2022-01-27-13:27:58,7,2,2.60833
412,2022-01-27-13:27:59,2,5,1.53019
413,2022-01-27-13:28:01,5,4,1.78056
414,2022-01-27-13:28:02,4,0,1.52056
415,2022-01-27-13:28:04,0,2,1.73339
416,2022-01-27-13:28:06,2,5,1.52160
417,2022-01-27-13:28:08,5,3,2.17086
418,2022-01-27-13:28:10,3,7,2.17939
419,2022-01-27-13:28:12,7,4,1.89525
420,2022-01-27-13:28:14,4,5,1.78579
421,2022-01-27-13:28:16,5,0,1.89997
422,2022-01-27-13:28:17,0,4,1.51866
423,2022-01-27-13:28:19,4,5,1.75835
424,2022-01-27-13:28:21,5,1,1.92667
425,2022-01-27-13:28:23,1,3,2.22561
426,2022-01-27-13:28:26,3,2,2.59223
427,2022-01-27-13:28:28,2,3,2.59354
428,2022-01-27-13:28:31,3,0,2.39691
429,2022-01-27-13:28:34,0,6,3.49793
430,2022-01-27-13:28:38,6,4,3.45275
431,2022-01-27-13:28:39,4,7,1.88532
432,2022-01-27-13:28:41,7,1,1.69493
433,2022-01-27-13:28:45,1,6,3.61005
434,2022-01-27-13:28:48,6,4,3.45431
435,2022-01-27-13:28:49,4,1,1.33980
436,2022-01-27-13:28:51,1,4,1.31492
437,2022-01-27-13:28:53,4,3,2.12904
438,2022-01-27-13:28:55,3,4,2.12778
439,2022-01-27-13:28:57,4,5,1.75385
440,2022-01-27-13:28:59,5,3,2.20966
441,2022-01-27-13:29:01,3,1,2.23127
442,2022-01-27-13:29:03,1,4,1.31570
443,2022-01-27-13:29:04,4,0,1.51852
444,2022-01-27-13:29:08,0,6,3.46073
445,2022-01-27-13:29:11,6,0,3.42939
446,2022-01-27-13:29:13,0,3,2.39512
447,2022-01-27-13:29:16,3,5,2.19425
448,2022-01-27-13:29:17,5,0,1.88289
449,2022-01-27-13:29:19,0,5,1.89259
450,2022-01-27-13:29:22,5,6,3.10192
451,2022-01-27-13:29:26,6,4,3.42842
452,2022-01-27-13:29:28,4,3,2.12185
453,2022-01-27-13:29:30,3,0,2.40183
454,2022-01-27-13:29:32,0,2,1.73156
455,2022-01-27-13:29:34,2,4,1.76118
456,2022-01-27-13:29:36,4,2,1.79548
457,2022-01-27-13:29:37,2,0,1.72609
458,2022-01-27-13:29:40,0,3,2.40044
459,2022-01-27-13:29:42,3,5,2.16836
460,2022-01-27-13:29:44,5,0,1.87139
461,2022-01-27-13:29:47,0,6,3.45092
462,2022-01-27-13:29:50,6,5,3.10488
463,2022-01-27-13:29:53,5,3,2.20323
464,2022-01-27-13:29:55,3,5,2.16072
465,2022-01-27-13:29:57,5,0,1.89233
466,2022-01-27-13:30:00,0,6,3.46672
467,2022-01-27-13:30:04,6,3,3.63644
468,2022-01-27-13:30:07,3,6,3.64719
469,2022-01-27-13:30:11,6,1,3.53435
470,2022-01-27-13:30:13,1,5,1.93186
471,2022-01-27-13:30:15,5,3,2.16576
472,2022-01-27-13:30:17,3,4,2.12388
473,2022-01-27-13:30:19,4,3,2.11902
474,2022-01-27-13:30:22,3,2,2.60319
475,2022-01-27-13:30:23,2,5,1.50154
476,2022-01-27-13:30:26,5,3,2.17774
477,2022-01-27-13:30:28,3,0,2.35860
478,2022-01-27-13:30:30,0,2,1.72807
479,2022-01-27-13:30:31,2,0,1.73587
480,2022-01-27-13:30:32,0,1,1.02216
481,2022-01-27-13:30:34,1,7,1.66822
482,2022-01-27-13:30:38,7,6,4.01885
483,2022-01-27-13:30:42,6,7,4.00425
484,2022-01-27-13:30:44,7,3,2.13036
485,2022-01-27-13:30:46,3,1,2.23011
486,2022-01-27-13:30:47,1,0,1.01600
487,2022-01-27-13:30:49,0,1,1.04806
488,2022-01-27-13:30:50,1,5,1.93238
489,2022-01-27-13:30:52,5,4,1.76816
490,2022-01-27-13:30:54,4,1,1.33555
491,2022-01-27-13:30:56,1,5,1.93348
492,2022-01-27-13:30:58,5,7,2.54310
493,2022-01-27-13:31:00,7,1,1.69301
494,2022-01-27-13:31:02,1,3,2.23830
495,2022-01-27-13:31:05,3,2,2.61538
496,2022-01-27-13:31:06,2,0,1.71870
497,2022-01-27-13:31:07,0,1,1.09891
498,2022-01-27-13:31:09,1,7,1.68556
499,2022-01-27-13:31:12,7,2,2.60907
500,2022-01-27-13:31:14,2,3,2.57616
501,2022-01-27-13:31:17,3,1,2.26159
502,2022-01-27-13:31:18,1,4,1.34780
503,2022-01-27-13:31:21,4,6,3.44245
504,2022-01-27-13:31:25,6,3,3.64886
505,2022-01-27-13:31:27,3,7,2.18313
506,2022-01-27-13:31:29,7,1,1.72094
507,2022-01-27-13:31:30,1,4,1.36257
508,2022-01-27-13:31:34,4,6,3.45016
509,2022-01-27-13:31:37,6,3,3.66217
510,2022-01-27-13:31:41,3,6,3.81930
511,2022-01-27-13:31:44,6,2,3.10106
512,2022-01-27-13:31:46,2,0,1.74472
513,2022-01-27-13:31:50,0,6,3.47200
514,2022-01-27-13:31:53,6,1,3.55210
515,2022-01-27-13:31:55,1,2,1.99192
516,2022-01-27-13:31:58,2,6,3.17231
517,2022-01-27-13:32:02,6,7,4.12414
518,2022-01-27-13:32:04,7,0,1.94164
519,2022-01-27-13:32:06,0,5,1.89670
520,2022-01-27-13:32:08,5,0,1.90367
521,2022-01-27-13:32:10,0,5,1.92848
522,2022-01-27-13:32:13,5,7,2.60759
523,2022-01-27-13:32:15,7,3,2.14477
524,2022-01-27-13:32:17,3,7,2.13612
525,2022-01-27-13:32:19,7,0,1.93309
526,2022-01-27-13:32:21,0,5,1.89873
527,2022-01-27-13:32:23,5,1,1.95713
528,2022-01-27-13:32:26,1,6,3.61186
529,2022-01-27-13:32:30,6,4,3.47379
