"iteration,date,executiontime"
354,2022-02-09-00:18:42,0.81430
355,2022-02-09-00:18:42,0.53212
356,2022-02-09-00:18:43,0.60847
357,2022-02-09-00:18:43,0.54173
358,2022-02-09-00:18:44,0.70728
359,2022-02-09-00:18:45,0.63272
360,2022-02-09-00:18:46,0.79171
361,2022-02-09-00:18:46,0.66831
362,2022-02-09-00:18:47,0.72016
363,2022-02-09-00:18:48,0.66875
364,2022-02-09-00:18:48,0.63660
365,2022-02-09-00:18:49,0.76152
366,2022-02-09-00:18:50,0.58385
367,2022-02-09-00:18:50,0.63861
368,2022-02-09-00:18:51,0.59442
369,2022-02-09-00:18:51,0.56420
370,2022-02-09-00:18:52,0.60040
371,2022-02-09-00:18:53,0.51304
372,2022-02-09-00:18:53,0.54469
373,2022-02-09-00:18:53,0.40491
374,2022-02-09-00:18:54,0.43558
375,2022-02-09-00:18:54,0.48275
376,2022-02-09-00:18:55,0.67530
377,2022-02-09-00:18:56,0.56895
378,2022-02-09-00:18:56,0.44315
379,2022-02-09-00:18:57,0.69793
380,2022-02-09-00:18:57,0.68534
381,2022-02-09-00:18:58,0.61306
382,2022-02-09-00:18:59,0.59212
383,2022-02-09-00:18:59,0.63443
384,2022-02-09-00:19:00,0.63563
385,2022-02-09-00:19:01,0.61255
386,2022-02-09-00:19:01,0.78462
387,2022-02-09-00:19:02,0.63143
388,2022-02-09-00:19:03,0.74455
389,2022-02-09-00:19:03,0.58749
390,2022-02-09-00:19:04,0.61389
391,2022-02-09-00:19:05,0.70638
392,2022-02-09-00:19:05,0.71640
393,2022-02-09-00:19:06,0.66061
394,2022-02-09-00:19:07,0.66604
395,2022-02-09-00:19:07,0.68047
396,2022-02-09-00:19:08,0.71907
397,2022-02-09-00:19:09,0.61828
398,2022-02-09-00:19:09,0.61785
399,2022-02-09-00:19:10,0.67255
400,2022-02-09-00:19:11,0.74848
401,2022-02-09-00:19:11,0.57850
402,2022-02-09-00:19:12,0.65503
403,2022-02-09-00:19:13,0.81144
404,2022-02-09-00:19:13,0.61826
405,2022-02-09-00:19:14,0.62482
406,2022-02-09-00:19:15,0.81061
407,2022-02-09-00:19:15,0.64328
408,2022-02-09-00:19:16,0.53414
409,2022-02-09-00:19:17,0.53108
410,2022-02-09-00:19:17,0.49839
411,2022-02-09-00:19:18,0.57957
412,2022-02-09-00:19:18,0.65607
413,2022-02-09-00:19:19,0.74646
414,2022-02-09-00:19:20,0.63654
415,2022-02-09-00:19:20,0.78258
416,2022-02-09-00:19:21,0.79004
417,2022-02-09-00:19:22,0.52834
418,2022-02-09-00:19:22,0.59745
419,2022-02-09-00:19:23,0.56113
420,2022-02-09-00:19:24,0.88983
421,2022-02-09-00:19:25,0.67973
422,2022-02-09-00:19:25,0.81150
