timestamp,date,init_position,final_position,latency
1643877735976972032,2022-02-03-08:42:15,-1,0,2619
1643877736178803968,2022-02-03-08:42:16,-1,0,200
1643877741015898880,2022-02-03-08:42:21,-1,4,4836
1643877750090902016,2022-02-03-08:42:30,-1,8,9074
1643877751705037056,2022-02-03-08:42:31,-1,4,1613
1643877753927683072,2022-02-03-08:42:33,-1,9,2222
1643877757361726976,2022-02-03-08:42:37,-1,1,3433
1643877760790714112,2022-02-03-08:42:40,-1,9,3428
1643877764219041024,2022-02-03-08:42:44,-1,1,3427
1643877766229186048,2022-02-03-08:42:46,-1,8,2009
1643877768243948032,2022-02-03-08:42:48,-1,1,2013
1643877773488977920,2022-02-03-08:42:53,-1,5,5244
1643877777317840128,2022-02-03-08:42:57,-1,6,3828
1643877782344499968,2022-02-03-08:43:02,-1,9,5026
1643877784155262976,2022-02-03-08:43:04,-1,4,1810
1643877793244066048,2022-02-03-08:43:13,-1,8,9088
1643877797474832896,2022-02-03-08:43:17,-1,0,4230
1643877801704911104,2022-02-03-08:43:21,-1,8,4229
1643877807745834240,2022-02-03-08:43:27,-1,5,6040
1643877807946996992,2022-02-03-08:43:27,-1,5,200
1643877812983702784,2022-02-03-08:43:32,-1,9,5036
1643877816208361984,2022-02-03-08:43:36,-1,3,3224
1643877819429317120,2022-02-03-08:43:39,-1,6,3220
1643877823256365056,2022-02-03-08:43:43,-1,5,3826
1643877824867721984,2022-02-03-08:43:44,-1,3,1611
1643877828503712000,2022-02-03-08:43:48,-1,1,3635
1643877830923791872,2022-02-03-08:43:50,-1,4,2419
1643877834356659968,2022-02-03-08:43:54,-1,2,3432
1643877839792169984,2022-02-03-08:43:59,-1,6,5435
1643877842009940992,2022-02-03-08:44:02,-1,4,2217
1643877845229719040,2022-02-03-08:44:05,-1,0,3219
1643877847644265984,2022-02-03-08:44:07,-1,6,2414
1643877850665591040,2022-02-03-08:44:10,-1,9,3020
1643877853689485056,2022-02-03-08:44:13,-1,6,3023
1643877859144357888,2022-02-03-08:44:19,-1,2,5454
1643877866392694016,2022-02-03-08:44:26,-1,3,7247
1643877869620094976,2022-02-03-08:44:29,-1,9,3227
1643877871635494912,2022-02-03-08:44:31,-1,4,2015
1643877874856983808,2022-02-03-08:44:34,-1,7,3221
1643877879285225984,2022-02-03-08:44:39,-1,0,4427
1643877885332710912,2022-02-03-08:44:45,-1,8,6046
1643877885534769920,2022-02-03-08:44:45,-1,8,201
1643877897827096832,2022-02-03-08:44:57,-1,2,12291
1643877905086627840,2022-02-03-08:45:05,-1,3,7259
1643877908117598976,2022-02-03-08:45:08,-1,6,3030
1643877911147640064,2022-02-03-08:45:11,-1,9,3029
1643877914162944000,2022-02-03-08:45:14,-1,7,3014
1643877918600745984,2022-02-03-08:45:18,-1,0,4437
