"iteration,date,init_position,final_position,time"
271,2022-01-27-20:14:01,6,1,3.98704
272,2022-01-27-20:14:02,1,0,1.13893
273,2022-01-27-20:14:04,0,7,2.00128
274,2022-01-27-20:14:06,7,1,1.71315
275,2022-01-27-20:14:08,1,4,1.46476
276,2022-01-27-20:14:12,4,2,4.30052
277,2022-01-27-20:14:17,2,1,5.30998
278,2022-01-27-20:14:19,1,2,2.04293
279,2022-01-27-20:14:21,2,0,1.76929
280,2022-01-27-20:14:24,0,6,2.87411
281,2022-01-27-20:14:27,6,1,2.74357
282,2022-01-27-20:14:29,1,2,2.07149
283,2022-01-27-20:14:31,2,0,1.89179
284,2022-01-27-20:14:34,0,6,3.01559
285,2022-01-27-20:14:36,6,7,2.90771
286,2022-01-27-20:14:41,7,6,4.26872
287,2022-01-27-20:14:44,6,4,3.74386
288,2022-01-27-20:14:47,4,3,2.17472
289,2022-01-27-20:14:49,3,0,2.53307
290,2022-01-27-20:14:51,0,4,1.55411
291,2022-01-27-20:14:53,4,7,1.95680
292,2022-01-27-20:14:55,7,3,2.37036
293,2022-01-27-20:14:57,3,4,2.27552
294,2022-01-27-20:14:59,4,7,1.96357
295,2022-01-27-20:15:02,7,2,2.70934
296,2022-01-27-20:15:04,2,5,1.57730
297,2022-01-27-20:15:05,5,4,1.88501
298,2022-01-27-20:15:08,4,3,2.12771
299,2022-01-27-20:15:10,3,1,2.56366
300,2022-01-27-20:15:12,1,2,2.09374
301,2022-01-27-20:15:15,2,7,2.72900
302,2022-01-27-20:15:18,7,6,2.62351
303,2022-01-27-20:15:21,6,0,3.51129
304,2022-01-27-20:15:24,0,6,2.85938
305,2022-01-27-20:15:27,6,1,2.75274
306,2022-01-27-20:15:28,1,4,1.41335
307,2022-01-27-20:15:30,4,7,1.93916
308,2022-01-27-20:15:33,7,5,2.75694
309,2022-01-27-20:15:35,5,0,2.01468
310,2022-01-27-20:15:37,0,2,1.87714
311,2022-01-27-20:15:38,2,5,1.56170
312,2022-01-27-20:15:43,5,4,4.19994
313,2022-01-27-20:15:47,4,7,4.22492
314,2022-01-27-20:15:48,7,1,1.72625
315,2022-01-27-20:15:50,1,7,1.84959
316,2022-01-27-20:15:55,7,4,4.59409
317,2022-01-27-20:15:59,4,0,3.74225
318,2022-01-27-20:16:00,0,2,1.77500
319,2022-01-27-20:16:02,2,4,1.82609
320,2022-01-27-20:16:06,4,6,3.47065
321,2022-01-27-20:16:09,6,5,3.19240
322,2022-01-27-20:16:11,5,2,2.02509
323,2022-01-27-20:16:14,2,7,2.58558
324,2022-01-27-20:16:16,7,5,2.70451
325,2022-01-27-20:16:18,5,4,1.86780
326,2022-01-27-20:16:20,4,7,1.98759
327,2022-01-27-20:16:23,7,6,2.63160
328,2022-01-27-20:16:25,6,5,2.76630
329,2022-01-27-20:16:28,5,7,2.65881
330,2022-01-27-20:16:31,7,3,3.32800
